session_id,step_id,step_type,text_id,question_number,points,max_points
S005,T41_Q2,question,T41,2,1,1
S005,T41_Q3,question,T41,3,0,1
S006,T2_Q1,question,T2,1,1,1
S006,T2_Q2,question,T2,2,0,1
S006,T2_Q3,question,T2,3,1,1
S006,T5_Q1,question,T5,1,1,1
S006,T5_Q2,question,T5,2,1,1
S006,T5_Q3,question,T5,3,1,1
S006,T17_Q1,question,T17,1,1,1
S006,T17_Q2,question,T17,2,1,1
S006,T17_Q3,question,T17,3,1,1
S006,T26_Q1,question,T26,1,1,1
S006,T26_Q2,question,T26,2,1,1
S006,T26_Q3,question,T26,3,1,1
S006,T33_Q1,question,T33,1,1,1
S006,T33_Q2,question,T33,2,1,1
S006,T33_Q3,question,T33,3,1,1
S006,T42_Q1,question,T42,1,1,1
S006,T42_Q2,question,T42,2,1,1
S006,T42_Q3,question,T42,3,1,1
S006,T45_Q1,question,T45,1,1,1
S006,T45_Q2,question,T45,2,1,1
S006,T45_Q3,question,T45,3,1,1
S006,T47_Q1,question,T47,1,1,1
S006,T47_Q2,question,T47,2,1,1
S006,T47_Q3,question,T47,3,1,1
S006,T48_Q1,question,T48,1,1,1
S006,T48_Q2,question,T48,2,1,1
S006,T48_Q3,question,T48,3,1,1
S006,T49_Q1,question,T49,1,1,1
S006,T49_Q2,question,T49,2,1,1
S006,T49_Q3,question,T49,3,1,1
S007,T12_Q1,question,T12,1,0,0
S007,T12_Q2,question,T12,2,1,1
S007,T12_Q3,question,T12,3,0,1
S007,T15_Q1,question,T15,1,0,1
S007,T15_Q2,question,T15,2,1,1
S007,T15_Q3,question,T15,3,1,1
S007,T18_Q1,question,T18,1,1,1
S007,T18_Q2,question,T18,2,1,1
S007,T18_Q3,question,T18,3,1,1
S007,T20_Q1,question,T20,1,1,1
S007,T20_Q2,question,T20,2,1,1
S007,T20_Q3,question,T20,3,0,0
S007,T24_Q1,question,T24,1,0,1
S007,T24_Q2,question,T24,2,0,0
S007,T24_Q3,question,T24,3,0,1
S007,T27_Q1,question,T27,1,0,1
S007,T27_Q2,question,T27,2,0,0
S007,T27_Q3,question,T27,3,1,1
S007,T28_Q1,question,T28,1,1,1
S007,T28_Q2,question,T28,2,1,1
S007,T28_Q3,question,T28,3,1,1
S007,T30_Q1,question,T30,1,1,1
S007,T30_Q2,question,T30,2,0,1
S007,T30_Q3,question,T30,3,0,0
S007,T37_Q1,question,T37,1,0,1
S007,T37_Q2,question,T37,2,1,1
S007,T37_Q3,question,T37,3,0,1
S007,T41_Q1,question,T41,1,1,1
S007,T41_Q2,question,T41,2,1,1
S007,T41_Q3,question,T41,3,0,1
S008,T2_Q1,question,T2,1,1,1
S008,T2_Q2,question,T2,2,0,1
S008,T2_Q3,question,T2,3,1,1
S008,T5_Q1,question,T5,1,1,1
S008,T5_Q2,question,T5,2,1,1
S008,T5_Q3,question,T5,3,1,1
S008,T17_Q1,question,T17,1,1,1
S008,T17_Q2,question,T17,2,1,1
S008,T17_Q3,question,T17,3,1,1
S008,T26_Q1,question,T26,1,1,1
S008,T26_Q2,question,T26,2,1,1
S008,T26_Q3,question,T26,3,0,1
S008,T33_Q1,question,T33,1,1,1
S008,T33_Q2,question,T33,2,1,1
S008,T33_Q3,question,T33,3,1,1
S008,T42_Q1,question,T42,1,1,1
S008,T42_Q2,question,T42,2,1,1
S008,T42_Q3,question,T42,3,1,1
S008,T45_Q1,question,T45,1,1,1
S008,T45_Q2,question,T45,2,1,1
S008,T45_Q3,question,T45,3,1,1
S008,T47_Q1,question,T47,1,1,1
S008,T47_Q2,question,T47,2,1,1
S008,T47_Q3,question,T47,3,1,1
S008,T48_Q1,question,T48,1,1,1
S008,T48_Q2,question,T48,2,0,1
S008,T48_Q3,question,T48,3,1,1
S008,T49_Q1,question,T49,1,1,1
S008,T49_Q2,question,T49,2,1,1
S008,T49_Q3,question,T49,3,1,1
S009,T3_Q1,question,T3,1,1,1
S009,T3_Q2,question,T3,2,1,1
S009,T3_Q3,question,T3,3,1,1
S009,Text 3,text_marker,T3,,0,0
S009,T4_Q1,question,T4,1,1,1
S009,T4_Q2,question,T4,2,1,1
S009,T4_Q3,question,T4,3,1,1
S009,Text 4,text_marker,T4,,0,0
S009,T9_Q1,question,T9,1,0,1
S009,T9_Q2,question,T9,2,1,1
S009,T9_Q3,question,T9,3,0,1
S009,Text 9,text_marker,T9,,0,0
S009,T10_Q1,question,T10,1,0,1
S009,T10_Q2,question,T10,2,1,1
S009,T10_Q3,question,T10,3,1,1
S009,Text 10,text_marker,T10,,0,0
S009,T19_Q1,question,T19,1,1,1
S009,T19_Q2,question,T19,2,1,1
S009,T19_Q3,question,T19,3,0,0
S009,Text 19,text_marker,T19,,0,0
S009,T29_Q1,question,T29,1,1,1
S009,T29_Q2,question,T29,2,1,1
S009,T29_Q3,question,T29,3,1,1
S009,Text 29,text_marker,T29,,0,0
S009,T31_Q1,question,T31,1,1,1
S009,T31_Q2,question,T31,2,1,1
S009,T31_Q3,question,T31,3,1,1
S009,Text 31,text_marker,T31,,0,0
S009,T32_Q1,question,T32,1,1,1
S009,T32_Q2,question,T32,2,1,1
S009,T32_Q3,question,T32,3,0,1
S009,Text 32,text_marker,T32,,0,0
S009,T46_Q1,question,T46,1,1,1
S009,T46_Q2,question,T46,2,1,1
S009,T46_Q3,question,T46,3,1,1
S009,Text 46,text_marker,T46,,0,0
S009,T50_Q1,question,T50,1,1,1
S009,T50_Q2,question,T50,2,1,1
S009,T50_Q3,question,T50,3,1,1
S009,Text 50,text_marker,T50,,0,0
S010,T12_Q1,question,T12,1,1,1
S010,T12_Q2,question,T12,2,1,1
S010,T12_Q3,question,T12,3,1,1
S010,T15_Q1,question,T15,1,1,1
S010,T15_Q2,question,T15,2,1,1
S010,T15_Q3,question,T15,3,1,1
S010,T18_Q1,question,T18,1,1,1
S010,T18_Q2,question,T18,2,1,1
S010,T18_Q3,question,T18,3,1,1
S010,T20_Q1,question,T20,1,1,1
S010,T20_Q2,question,T20,2,1,1
S010,T20_Q3,question,T20,3,1,1
S010,T24_Q1,question,T24,1,0,0
S010,T24_Q2,question,T24,2,1,1
S010,T24_Q3,question,T24,3,1,1
S010,T27_Q1,question,T27,1,1,1
S010,T27_Q2,question,T27,2,1,1
S010,T27_Q3,question,T27,3,1,1
S010,T28_Q1,question,T28,1,1,1
S010,T28_Q2,question,T28,2,1,1
S010,T28_Q3,question,T28,3,1,1
S010,T30_Q1,question,T30,1,1,1
S010,T30_Q2,question,T30,2,1,1
S010,T30_Q3,question,T30,3,1,1
S010,T37_Q1,question,T37,1,1,1
S010,T37_Q2,question,T37,2,1,1
S010,T37_Q3,question,T37,3,1,1
S010,T41_Q1,question,T41,1,1,1
S010,T41_Q2,question,T41,2,1,1
S010,T41_Q3,question,T41,3,1,1
S011,T3_Q1,question,T3,1,1,1
S011,T3_Q2,question,T3,2,1,1
S011,T3_Q3,question,T3,3,1,1
S011,T4_Q1,question,T4,1,1,1
S011,T4_Q2,question,T4,2,1,1
S011,T4_Q3,question,T4,3,1,1
S011,T9_Q1,question,T9,1,1,1
S011,T9_Q2,question,T9,2,1,1
S011,T9_Q3,question,T9,3,1,1
S011,T10_Q1,question,T10,1,1,1
S011,T10_Q2,question,T10,2,1,1
S011,T10_Q3,question,T10,3,1,1
S011,T19_Q1,question,T19,1,1,1
S011,T19_Q2,question,T19,2,1,1
S011,T19_Q3,question,T19,3,1,1
S011,T29_Q1,question,T29,1,1,1
S011,T29_Q2,question,T29,2,1,1
S011,T29_Q3,question,T29,3,1,1
S011,T31_Q1,question,T31,1,1,1
S011,T31_Q2,question,T31,2,1,1
S011,T31_Q3,question,T31,3,1,1
S011,T32_Q1,question,T32,1,1,1
S011,T32_Q2,question,T32,2,1,1
S011,T32_Q3,question,T32,3,1,1
S011,T46_Q1,question,T46,1,1,1
S011,T46_Q2,question,T46,2,1,1
S011,T46_Q3,question,T46,3,1,1
S011,T50_Q1,question,T50,1,1,1
S011,T50_Q2,question,T50,2,1,1
S011,T50_Q3,question,T50,3,1,1
S012,T12_Q1,question,T12,1,1,1
S012,T12_Q2,question,T12,2,1,1
S012,T12_Q3,question,T12,3,1,1
S012,T15_Q1,question,T15,1,1,1
S012,T15_Q2,question,T15,2,1,1
S012,T15_Q3,question,T15,3,1,1
S012,T18_Q1,question,T18,1,1,1
S012,T18_Q2,question,T18,2,1,1
S012,T18_Q3,question,T18,3,1,1
S012,T20_Q1,question,T20,1,1,1
S012,T20_Q2,question,T20,2,1,1
S012,T20_Q3,question,T20,3,1,1
S012,T24_Q1,question,T24,1,1,1
S012,T24_Q2,question,T24,2,1,1
S012,T24_Q3,question,T24,3,1,1
S012,T27_Q1,question,T27,1,1,1
S012,T27_Q2,question,T27,2,1,1
S012,T27_Q3,question,T27,3,1,1
S012,T28_Q1,question,T28,1,1,1
S012,T28_Q2,question,T28,2,1,1
S012,T28_Q3,question,T28,3,1,1
S012,T30_Q1,question,T30,1,1,1
S012,T30_Q2,question,T30,2,1,1
S012,T30_Q3,question,T30,3,1,1
S012,T37_Q1,question,T37,1,1,1
S012,T37_Q2,question,T37,2,1,1
S012,T37_Q3,question,T37,3,1,1
S012,T41_Q1,question,T41,1,1,1
S012,T41_Q2,question,T41,2,1,1
S012,T41_Q3,question,T41,3,1,1
S013,T2_Q1,question,T2,1,1,1
S013,T2_Q2,question,T2,2,0,1
S013,T2_Q3,question,T2,3,1,1
S013,T5_Q1,question,T5,1,1,1
S013,T5_Q2,question,T5,2,0,1
S013,T5_Q3,question,T5,3,1,1
S013,T17_Q1,question,T17,1,1,1
S013,T17_Q2,question,T17,2,1,1
S013,T17_Q3,question,T17,3,1,1
S013,T26_Q1,question,T26,1,1,1
S013,T26_Q2,question,T26,2,1,1
S013,T26_Q3,question,T26,3,1,1
S013,T33_Q1,question,T33,1,1,1
S013,T33_Q2,question,T33,2,1,1
S013,T33_Q3,question,T33,3,1,1
S013,T42_Q1,question,T42,1,1,1
S013,T42_Q2,question,T42,2,1,1
S013,T42_Q3,question,T42,3,1,1
S013,T45_Q1,question,T45,1,1,1
S013,T45_Q2,question,T45,2,1,1
S013,T45_Q3,question,T45,3,1,1
S013,T47_Q1,question,T47,1,1,1
S013,T47_Q2,question,T47,2,1,1
S013,T47_Q3,question,T47,3,1,1
S013,T48_Q1,question,T48,1,1,1
S013,T48_Q2,question,T48,2,1,1
S013,T48_Q3,question,T48,3,1,1
S013,T49_Q1,question,T49,1,1,1
S013,T49_Q2,question,T49,2,1,1
S013,T49_Q3,question,T49,3,1,1
S014,T12_Q1,question,T12,1,1,1
S014,T12_Q2,question,T12,2,1,1
S014,T12_Q3,question,T12,3,1,1
S014,T15_Q1,question,T15,1,1,1
S014,T15_Q2,question,T15,2,1,1
S014,T15_Q3,question,T15,3,1,1
S014,T18_Q1,question,T18,1,1,1
S014,T18_Q2,question,T18,2,1,1
S014,T18_Q3,question,T18,3,1,1
S014,T20_Q1,question,T20,1,1,1
S014,T20_Q2,question,T20,2,1,1
S014,T20_Q3,question,T20,3,1,1
S014,T24_Q1,question,T24,1,1,1
S014,T24_Q2,question,T24,2,1,1
S014,T24_Q3,question,T24,3,1,1
S014,T27_Q1,question,T27,1,1,1
S014,T27_Q2,question,T27,2,1,1
S014,T27_Q3,question,T27,3,1,1
S014,T28_Q1,question,T28,1,1,1
S014,T28_Q2,question,T28,2,1,1
S014,T28_Q3,question,T28,3,1,1
S014,T30_Q1,question,T30,1,1,1
S014,T30_Q2,question,T30,2,1,1
S014,T30_Q3,question,T30,3,1,1
S014,T37_Q1,question,T37,1,1,1
S014,T37_Q2,question,T37,2,1,1
S014,T37_Q3,question,T37,3,1,1
S014,T41_Q1,question,T41,1,1,1
S014,T41_Q2,question,T41,2,1,1
S014,T41_Q3,question,T41,3,1,1
S015,T2_Q1,question,T2,1,0,1
S015,T2_Q2,question,T2,2,0,1
S015,T2_Q3,question,T2,3,0,1
S015,T5_Q1,question,T5,1,0,1
S015,T5_Q2,question,T5,2,0,1
S015,T5_Q3,question,T5,3,0,1
S015,T17_Q1,question,T17,1,0,1
S015,T17_Q2,question,T17,2,1,1
S015,T17_Q3,question,T17,3,0,1
S015,T26_Q1,question,T26,1,0,1
S015,T26_Q2,question,T26,2,0,1
S015,T26_Q3,question,T26,3,0,1
S015,T33_Q1,question,T33,1,1,1
S015,T33_Q2,question,T33,2,0,1
S015,T33_Q3,question,T33,3,0,1
S015,T42_Q1,question,T42,1,0,1
S015,T42_Q2,question,T42,2,0,1
S015,T42_Q3,question,T42,3,1,1
S015,T45_Q1,question,T45,1,1,1
S015,T45_Q2,question,T45,2,0,1
S015,T45_Q3,question,T45,3,0,1
S015,T47_Q1,question,T47,1,1,1
S015,T47_Q2,question,T47,2,1,1
S015,T47_Q3,question,T47,3,0,1
S015,T48_Q1,question,T48,1,1,1
S015,T48_Q2,question,T48,2,1,1
S015,T48_Q3,question,T48,3,1,1
S015,T49_Q1,question,T49,1,0,1
S015,T49_Q2,question,T49,2,1,1
S015,T49_Q3,question,T49,3,1,1
S016,T3_Q1,question,T3,1,1,1
S016,T3_Q2,question,T3,2,1,1
S016,T3_Q3,question,T3,3,1,1
S016,Text 3,text_marker,T3,,0,0
S016,T4_Q1,question,T4,1,1,1
S016,T4_Q2,question,T4,2,1,1
S016,T4_Q3,question,T4,3,1,1
S016,Text 4,text_marker,T4,,0,0
S016,T9_Q1,question,T9,1,1,1
S016,T9_Q2,question,T9,2,1,1
S016,T9_Q3,question,T9,3,1,1
S016,Text 9,text_marker,T9,,0,0
S016,T10_Q1,question,T10,1,1,1
S016,T10_Q2,question,T10,2,1,1
S016,T10_Q3,question,T10,3,1,1
S016,Text 10,text_marker,T10,,0,0
S016,T19_Q1,question,T19,1,1,1
S016,T19_Q2,question,T19,2,1,1
S016,T19_Q3,question,T19,3,1,1
S016,Text 19,text_marker,T19,,0,0
S016,T29_Q1,question,T29,1,1,1
S016,T29_Q2,question,T29,2,1,1
S016,T29_Q3,question,T29,3,1,1
S016,Text 29,text_marker,T29,,0,0
S016,T31_Q1,question,T31,1,1,1
S016,T31_Q2,question,T31,2,1,1
S016,T31_Q3,question,T31,3,1,1
S016,Text 31,text_marker,T31,,0,0
S016,T32_Q1,question,T32,1,1,1
S016,T32_Q2,question,T32,2,1,1
S016,T32_Q3,question,T32,3,1,1
S016,Text 32,text_marker,T32,,0,0
S016,T46_Q1,question,T46,1,1,1
S016,T46_Q2,question,T46,2,1,1
S016,T46_Q3,question,T46,3,1,1
S016,Text 46,text_marker,T46,,0,0
S016,T50_Q1,question,T50,1,1,1
S016,T50_Q2,question,T50,2,1,1
S016,T50_Q3,question,T50,3,1,1
S016,Text 50,text_marker,T50,,0,0
S017,T2_Q1,question,T2,1,0,0
S017,T2_Q2,question,T2,2,0,0
S017,T2_Q3,question,T2,3,0,0
S017,T5_Q1,question,T5,1,0,0
S017,T5_Q2,question,T5,2,0,0
S017,T5_Q3,question,T5,3,0,0
S017,T17_Q1,question,T17,1,0,0
S017,T17_Q2,question,T17,2,0,0
S017,T17_Q3,question,T17,3,0,0
S017,T26_Q1,question,T26,1,0,0
S017,T26_Q2,question,T26,2,0,0
S017,T26_Q3,question,T26,3,0,0
S017,T33_Q1,question,T33,1,0,0
S017,T33_Q2,question,T33,2,0,0
S017,T33_Q3,question,T33,3,0,0
S017,T42_Q1,question,T42,1,0,0
S017,T42_Q2,question,T42,2,0,0
S017,T42_Q3,question,T42,3,0,0
S017,T45_Q1,question,T45,1,0,0
S017,T45_Q2,question,T45,2,0,0
S017,T45_Q3,question,T45,3,0,0
S017,T47_Q1,question,T47,1,0,0
S017,T47_Q2,question,T47,2,0,0
S017,T47_Q3,question,T47,3,0,0
S017,T48_Q1,question,T48,1,0,0
S017,T48_Q2,question,T48,2,0,0
S017,T48_Q3,question,T48,3,0,0
S017,T49_Q1,question,T49,1,0,0
S017,T49_Q2,question,T49,2,0,0
S017,T49_Q3,question,T49,3,0,0
S018,T12_Q1,question,T12,1,0,0
S018,T12_Q2,question,T12,2,0,0
S018,T12_Q3,question,T12,3,0,0
S018,T15_Q1,question,T15,1,0,0
S018,T15_Q2,question,T15,2,0,0
S018,T15_Q3,question,T15,3,0,0
S018,T18_Q1,question,T18,1,0,0
S018,T18_Q2,question,T18,2,0,0
S018,T18_Q3,question,T18,3,0,0
S018,T20_Q1,question,T20,1,0,0
S018,T20_Q2,question,T20,2,0,0
S018,T20_Q3,question,T20,3,0,0
S018,T24_Q1,question,T24,1,0,0
S018,T24_Q2,question,T24,2,0,0
S018,T24_Q3,question,T24,3,0,0
S018,T27_Q1,question,T27,1,0,0
S018,T27_Q2,question,T27,2,0,0
S018,T27_Q3,question,T27,3,0,0
S018,T28_Q1,question,T28,1,0,0
S018,T28_Q2,question,T28,2,0,0
S018,T28_Q3,question,T28,3,0,0
S018,T30_Q1,question,T30,1,0,0
S018,T30_Q2,question,T30,2,0,0
S018,T30_Q3,question,T30,3,0,0
S018,T37_Q1,question,T37,1,0,0
S018,T37_Q2,question,T37,2,0,0
S018,T37_Q3,question,T37,3,0,0
S018,T41_Q1,question,T41,1,0,0
S018,T41_Q2,question,T41,2,0,0
S018,T41_Q3,question,T41,3,0,0
S019,T2_Q1,question,T2,1,0,0
S019,T2_Q2,question,T2,2,0,0
S019,T2_Q3,question,T2,3,0,0
S019,T5_Q1,question,T5,1,0,0
S019,T5_Q2,question,T5,2,0,0
S019,T5_Q3,question,T5,3,0,0
S019,T17_Q1,question,T17,1,0,0
S019,T17_Q2,question,T17,2,0,0
S019,T17_Q3,question,T17,3,0,0
S019,T26_Q1,question,T26,1,0,0
S019,T26_Q2,question,T26,2,0,0
S019,T26_Q3,question,T26,3,0,0
S019,T33_Q1,question,T33,1,0,0
S019,T33_Q2,question,T33,2,0,0
S019,T33_Q3,question,T33,3,0,0
S019,T42_Q1,question,T42,1,0,0
S019,T42_Q2,question,T42,2,0,0
S019,T42_Q3,question,T42,3,0,0
S019,T45_Q1,question,T45,1,0,0
S019,T45_Q2,question,T45,2,0,0
S019,T45_Q3,question,T45,3,0,0
S019,T47_Q1,question,T47,1,0,0
S019,T47_Q2,question,T47,2,0,0
S019,T47_Q3,question,T47,3,0,0
S019,T48_Q1,question,T48,1,0,0
S019,T48_Q2,question,T48,2,0,0
S019,T48_Q3,question,T48,3,0,0
S019,T49_Q1,question,T49,1,0,0
S019,T49_Q2,question,T49,2,0,0
S019,T49_Q3,question,T49,3,0,0
S020,T2_Q1,question,T2,1,1,1
S020,T2_Q2,question,T2,2,0,1
S020,T2_Q3,question,T2,3,1,1
S020,T5_Q1,question,T5,1,1,1
S020,T5_Q2,question,T5,2,0,1
S020,T5_Q3,question,T5,3,1,1
S020,T17_Q1,question,T17,1,1,1
S020,T17_Q2,question,T17,2,1,1
S020,T17_Q3,question,T17,3,1,1
S020,T26_Q1,question,T26,1,1,1
S020,T26_Q2,question,T26,2,1,1
S020,T26_Q3,question,T26,3,1,1
S020,T33_Q1,question,T33,1,1,1
S020,T33_Q2,question,T33,2,1,1
S020,T33_Q3,question,T33,3,1,1
S020,T42_Q1,question,T42,1,1,1
S020,T42_Q2,question,T42,2,1,1
S020,T42_Q3,question,T42,3,1,1
S020,T45_Q1,question,T45,1,1,1
S020,T45_Q2,question,T45,2,1,1
S020,T45_Q3,question,T45,3,1,1
S020,T47_Q1,question,T47,1,1,1
S020,T47_Q2,question,T47,2,1,1
S020,T47_Q3,question,T47,3,1,1
S020,T48_Q1,question,T48,1,1,1
S020,T48_Q2,question,T48,2,1,1
S020,T48_Q3,question,T48,3,1,1
S020,T49_Q1,question,T49,1,1,1
S020,T49_Q2,question,T49,2,1,1
S020,T49_Q3,question,T49,3,1,1
S021,T2_Q1,question,T2,1,0,0
S021,T2_Q2,question,T2,2,0,0
S021,T2_Q3,question,T2,3,0,0
S021,T5_Q1,question,T5,1,0,0
S021,T5_Q2,question,T5,2,0,0
S021,T5_Q3,question,T5,3,0,0
S021,T17_Q1,question,T17,1,0,0
S021,T17_Q2,question,T17,2,0,0
S021,T17_Q3,question,T17,3,0,0
S021,T26_Q1,question,T26,1,0,0
S021,T26_Q2,question,T26,2,0,0
S021,T26_Q3,question,T26,3,0,0
S021,T33_Q1,question,T33,1,0,0
S021,T33_Q2,question,T33,2,0,0
S021,T33_Q3,question,T33,3,0,0
S021,T42_Q1,question,T42,1,0,0
S021,T42_Q2,question,T42,2,0,0
S021,T42_Q3,question,T42,3,0,0
S021,T45_Q1,question,T45,1,0,0
S021,T45_Q2,question,T45,2,0,0
S021,T45_Q3,question,T45,3,0,0
S021,T47_Q1,question,T47,1,0,0
S021,T47_Q2,question,T47,2,0,0
S021,T47_Q3,question,T47,3,0,0
S021,T48_Q1,question,T48,1,0,0
S021,T48_Q2,question,T48,2,0,0
S021,T48_Q3,question,T48,3,0,0
S021,T49_Q1,question,T49,1,0,0
S021,T49_Q2,question,T49,2,0,0
S021,T49_Q3,question,T49,3,0,0
S022,T12_Q1,question,T12,1,0,1
S022,T12_Q2,question,T12,2,1,1
S022,T12_Q3,question,T12,3,0,1
S022,T15_Q1,question,T15,1,0,1
