session_id,event_index,step_id,step_type,text_id,question_number,aoi_category,aoi_code,start_offset_ms,stop_offset_ms,duration_ms
S001,43,T12_Q1,question,T12,1,unassigned,,10537,10607,70
S001,44,T12_Q1,question,T12,1,unassigned,,10650,10722,72
S001,45,T12_Q1,question,T12,1,unassigned,,10822,10939,117
S001,46,T12_Q1,question,T12,1,unassigned,,11008,11172,164
S001,47,T12_Q1,question,T12,1,unassigned,,11308,11405,97
S001,48,T12_Q1,question,T12,1,question_or_answer,A008,11609,11803,194
S001,49,T12_Q1,question,T12,1,unassigned,,11941,12105,164
S001,50,T12_Q1,question,T12,1,unassigned,,12172,12305,133
S001,51,T12_Q1,question,T12,1,unassigned,,12372,12472,100
S001,52,T12_Q1,question,T12,1,unassigned,,12537,12680,143
S001,53,T12_Q1,question,T12,1,unassigned,,12724,12790,66
S001,54,T12_Q1,question,T12,1,unassigned,,12837,13014,177
S001,55,T12_Q1,question,T12,1,unassigned,,13081,13303,222
S001,56,T12_Q1,question,T12,1,unassigned,,13397,13662,265
S001,57,T12_Q1,question,T12,1,unassigned,,13731,13799,68
S001,58,T12_Q1,question,T12,1,unassigned,,13843,13921,78
S001,59,T12_Q1,question,T12,1,unassigned,,13966,14315,349
S001,60,T12_Q1,question,T12,1,question_or_answer,A009,14507,14707,200
S001,61,T12_Q1,question,T12,1,question_or_answer,A007,14753,14814,61
S001,62,T12_Q1,question,T12,1,unassigned,,14858,14950,92
S001,63,T12_Q1,question,T12,1,question_or_answer,A009,15027,15072,45
S001,64,T12_Q1,question,T12,1,question_or_answer,A008,15112,15407,295
S001,65,T12_Q1,question,T12,1,unassigned,,15538,15726,188
S001,66,T12_Q1,question,T12,1,question_or_answer,A003,15821,16020,199
S001,67,T12_Q1,question,T12,1,question_or_answer,A003,16088,16187,99
S001,68,T12_Q1,question,T12,1,unassigned,,16254,16437,183
S001,69,T12_Q1,question,T12,1,unassigned,,16637,16954,317
S001,70,T12_Q1,question,T12,1,unassigned,,17008,17237,229
S001,71,T12_Q1,question,T12,1,unassigned,,17281,17422,141
S001,72,T12_Q1,question,T12,1,source_text,A010,17526,17610,84
S001,73,T12_Q1,question,T12,1,unassigned,,17661,17759,98
S001,74,T12_Q1,question,T12,1,unassigned,,17820,17921,101
S001,75,T12_Q1,question,T12,1,unassigned,,18016,18247,231
S001,76,T12_Q1,question,T12,1,source_text,A011,18364,18540,176
S001,77,T12_Q1,question,T12,1,unassigned,,18599,18652,53
S001,78,T12_Q1,question,T12,1,question_or_answer,A007,18704,18784,80
S001,79,T12_Q1,question,T12,1,question_or_answer,A007,18831,18899,68
S001,80,T12_Q2,question,T12,2,source_text,A001,18972,19020,48
S001,81,T12_Q2,question,T12,2,unassigned,,19060,19336,276
S001,82,T12_Q2,question,T12,2,source_text,A002,19451,19722,271
S001,83,T12_Q2,question,T12,2,unassigned,,19842,19957,115
S001,84,T12_Q2,question,T12,2,source_text,A003,20087,20153,66
S001,85,T12_Q2,question,T12,2,source_text,A004,20253,20953,700
S001,86,T12_Q2,question,T12,2,unassigned,,21000,21088,88
S001,87,T12_Q2,question,T12,2,unassigned,,21159,21313,154
S001,88,T12_Q2,question,T12,2,unassigned,,21358,21503,145
S001,89,T12_Q2,question,T12,2,source_text,A002,21576,21840,264
S001,90,T12_Q2,question,T12,2,unassigned,,21908,22037,129
S001,91,T12_Q2,question,T12,2,source_text,A005,22104,22353,249
S001,92,T12_Q2,question,T12,2,unassigned,,22456,22510,54
S001,93,T12_Q2,question,T12,2,source_text,A002,22570,22729,159
S001,94,T12_Q2,question,T12,2,unassigned,,22770,22827,57
S001,95,T12_Q2,question,T12,2,unassigned,,22864,23300,436
S001,96,T12_Q2,question,T12,2,unassigned,,23351,23455,104
S001,97,T12_Q2,question,T12,2,unassigned,,23520,23673,153
S001,98,T12_Q2,question,T12,2,unassigned,,23718,24478,760
S001,99,T12_Q2,question,T12,2,source_text,A006,24604,24914,310
S001,100,T12_Q2,question,T12,2,source_text,A006,24955,25091,136
S001,101,T12_Q2,question,T12,2,source_text,A007,25161,25461,300
S001,102,T12_Q2,question,T12,2,unassigned,,25508,25769,261
S001,103,T12_Q2,question,T12,2,source_text,A002,25810,25908,98
S001,104,T12_Q2,question,T12,2,source_text,A007,25952,26036,84
S001,105,T12_Q2,question,T12,2,unassigned,,26120,26267,147
S001,106,T12_Q2,question,T12,2,unassigned,,26338,26427,89
S001,107,T12_Q2,question,T12,2,source_text,A008,26520,26825,305
S001,108,T12_Q2,question,T12,2,source_text,A006,26865,26988,123
S001,109,T12_Q2,question,T12,2,source_text,A009,27029,27240,211
S001,110,T12_Q2,question,T12,2,unassigned,,27303,27809,506
S001,111,T12_Q2,question,T12,2,unassigned,,27856,28580,724
S001,112,T12_Q2,question,T12,2,unassigned,,28613,28851,238
S001,113,T12_Q2,question,T12,2,source_text,A010,28894,28986,92
S001,114,T12_Q2,question,T12,2,source_text,A011,29048,29148,100
S001,115,T12_Q2,question,T12,2,source_text,A012,29187,29441,254
S001,116,T12_Q2,question,T12,2,source_text,A013,29479,29632,153
S001,117,T12_Q2,question,T12,2,source_text,A006,29672,30354,682
S001,118,T12_Q2,question,T12,2,source_text,A006,30396,30495,99
S001,119,T12_Q2,question,T12,2,source_text,A011,30550,30701,151
S001,120,T12_Q2,question,T12,2,source_text,A009,30743,30821,78
S001,121,T12_Q2,question,T12,2,source_text,A012,30866,31362,496
S001,122,T12_Q2,question,T12,2,unassigned,,31542,31829,287
S001,123,T12_Q2,question,T12,2,unassigned,,31876,32041,165
S001,124,T12_Q2,question,T12,2,unassigned,,32121,32200,79
S001,125,T12_Q2,question,T12,2,unassigned,,32302,32534,232
S001,126,T12_Q2,question,T12,2,source_text,A002,32609,32652,43
S001,127,T12_Q2,question,T12,2,source_text,A005,32694,32818,124
S001,128,T12_Q2,question,T12,2,unassigned,,32974,33219,245
S001,129,T12_Q2,question,T12,2,source_text,A002,33281,33465,184
S001,130,T12_Q2,question,T12,2,source_text,A002,33509,33622,113
S001,131,T12_Q2,question,T12,2,source_text,A002,33663,33781,118
S001,132,T12_Q2,question,T12,2,source_text,A005,33826,34023,197
S001,133,T12_Q2,question,T12,2,source_text,A001,34067,34333,266
S001,134,T12_Q2,question,T12,2,unassigned,,34513,34623,110
S001,135,T12_Q2,question,T12,2,question_or_answer,A014,34668,34862,194
S001,136,T12_Q2,question,T12,2,source_text,A007,34997,35319,322
S001,137,T12_Q2,question,T12,2,source_text,A005,35364,35409,45
S001,138,T12_Q2,question,T12,2,source_text,A006,35485,35575,90
S001,139,T12_Q2,question,T12,2,source_text,A010,35621,35901,280
S001,140,T12_Q2,question,T12,2,source_text,A001,35959,36150,191
S001,141,T12_Q2,question,T12,2,unassigned,,36221,37386,1165
S001,142,T12_Q2,question,T12,2,unassigned,,37439,37550,111
S001,143,T12_Q2,question,T12,2,source_text,A011,37598,37719,121
S001,144,T12_Q2,question,T12,2,source_text,A009,37767,37866,99
S001,145,T12_Q2,question,T12,2,source_text,A012,38015,38256,241
S001,146,T12_Q2,question,T12,2,source_text,A015,38304,38423,119
S001,147,T12_Q2,question,T12,2,source_text,A015,38468,38622,154
S001,148,T12_Q2,question,T12,2,source_text,A006,38688,39329,641
S001,149,T12_Q2,question,T12,2,source_text,A002,39370,39583,213
S001,150,T12_Q2,question,T12,2,source_text,A011,39630,39697,67
S001,151,T12_Q2,question,T12,2,unassigned,,39742,39838,96
S001,152,T12_Q2,question,T12,2,question_or_answer,A014,39887,40033,146
S001,153,T12_Q2,question,T12,2,source_text,A010,40081,40378,297
S001,154,T12_Q2,question,T12,2,source_text,A011,40423,40805,382
S001,155,T12_Q2,question,T12,2,source_text,A002,40843,40958,115
S001,156,T12_Q2,question,T12,2,unassigned,,41007,41376,369
S001,157,T12_Q2,question,T12,2,unassigned,,41422,41588,166
S001,158,T12_Q2,question,T12,2,source_text,A005,41642,41777,135
S001,159,T12_Q2,question,T12,2,unassigned,,41814,41914,100
S001,160,T12_Q2,question,T12,2,source_text,A009,42019,42553,534
S001,161,T12_Q2,question,T12,2,unassigned,,42592,42693,101
S001,162,T12_Q2,question,T12,2,source_text,A010,42774,42868,94
S001,163,T12_Q2,question,T12,2,source_text,A012,42920,43059,139
S001,164,T12_Q2,question,T12,2,unassigned,,43122,43221,99
S001,165,T12_Q2,question,T12,2,source_text,A011,43285,44090,805
S001,166,T12_Q2,question,T12,2,unassigned,,44127,44263,136
S001,167,T12_Q2,question,T12,2,source_text,A012,44360,44504,144
S001,168,T12_Q2,question,T12,2,source_text,A009,44544,44606,62
S001,169,T12_Q2,question,T12,2,source_text,A012,44645,44727,82
S001,170,T12_Q2,question,T12,2,unassigned,,44769,44836,67
S001,171,T12_Q2,question,T12,2,source_text,A002,44908,44994,86
S001,172,T12_Q2,question,T12,2,unassigned,,45087,45538,451
S001,173,T12_Q2,question,T12,2,unassigned,,45585,45695,110
S001,174,T12_Q2,question,T12,2,unassigned,,45742,45812,70
S001,175,T12_Q2,question,T12,2,unassigned,,45882,46040,158
S001,176,T12_Q2,question,T12,2,unassigned,,46084,46154,70
S001,177,T12_Q2,question,T12,2,source_text,A002,46202,46277,75
S001,178,T12_Q2,question,T12,2,source_text,A009,46377,46492,115
S001,179,T12_Q2,question,T12,2,source_text,A006,46541,46821,280
S001,180,T12_Q2,question,T12,2,source_text,A015,46872,47074,202
S001,181,T12_Q2,question,T12,2,source_text,A006,47122,47369,247
S001,182,T12_Q2,question,T12,2,unassigned,,47489,47591,102
S001,183,T12_Q2,question,T12,2,source_text,A011,47674,48208,534
S001,184,T12_Q2,question,T12,2,unassigned,,48249,48645,396
S001,185,T12_Q2,question,T12,2,unassigned,,48692,49170,478
S001,186,T12_Q2,question,T12,2,unassigned,,49386,49761,375
S001,187,T12_Q2,question,T12,2,unassigned,,49805,49875,70
S001,188,T12_Q2,question,T12,2,unassigned,,49922,50060,138
S001,189,T12_Q2,question,T12,2,unassigned,,50132,50367,235
S001,190,T12_Q2,question,T12,2,source_text,A002,50414,50695,281
S001,191,T12_Q2,question,T12,2,source_text,A015,50781,50889,108
S001,192,T12_Q2,question,T12,2,source_text,A016,50933,50978,45
S001,193,T12_Q2,question,T12,2,source_text,A001,51020,51544,524
S001,194,T12_Q2,question,T12,2,source_text,A016,51600,51652,52
S001,195,T12_Q2,question,T12,2,unassigned,,51720,51814,94
S001,196,T12_Q2,question,T12,2,source_text,A011,51887,51977,90
S001,197,T12_Q2,question,T12,2,unassigned,,52019,52688,669
S001,198,T12_Q2,question,T12,2,source_text,A010,52738,52900,162
S001,199,T12_Q2,question,T12,2,source_text,A005,52976,53109,133
S001,200,T12_Q2,question,T12,2,source_text,A010,53159,53518,359
S001,201,T12_Q2,question,T12,2,unassigned,,53590,53856,266
S001,202,T12_Q2,question,T12,2,unassigned,,53921,54016,95
S001,203,T12_Q2,question,T12,2,unassigned,,54067,54244,177
S001,204,T12_Q2,question,T12,2,question_or_answer,A017,54312,54427,115
S001,205,T12_Q2,question,T12,2,unassigned,,54492,54661,169
S001,206,T12_Q2,question,T12,2,unassigned,,54704,54946,242
S001,207,T12_Q2,question,T12,2,unassigned,,54996,55083,87
S001,208,T12_Q2,question,T12,2,unassigned,,55150,55249,99
S001,209,T12_Q2,question,T12,2,source_text,A013,55320,55536,216
S001,210,T12_Q2,question,T12,2,unassigned,,55585,55662,77
S001,211,T12_Q2,question,T12,2,unassigned,,55706,55923,217
S001,212,T12_Q2,question,T12,2,source_text,A009,55970,56062,92
S001,213,T12_Q2,question,T12,2,unassigned,,56183,56959,776
S001,214,T12_Q2,question,T12,2,unassigned,,57150,57224,74
S001,215,T12_Q2,question,T12,2,source_text,A016,57292,57448,156
S001,216,T12_Q2,question,T12,2,unassigned,,57518,57611,93
S001,217,T12_Q2,question,T12,2,unassigned,,57678,57822,144
S001,218,T12_Q2,question,T12,2,source_text,A006,57868,57922,54
S001,219,T12_Q2,question,T12,2,question_or_answer,A017,57998,58121,123
S001,220,T12_Q2,question,T12,2,unassigned,,58181,58350,169
S001,221,T12_Q2,question,T12,2,source_text,A002,58393,58534,141
S001,222,T12_Q2,question,T12,2,unassigned,,58585,58806,221
S001,223,T12_Q2,question,T12,2,source_text,A004,58849,59020,171
S001,224,T12_Q2,question,T12,2,unassigned,,59061,59216,155
S001,225,T12_Q2,question,T12,2,source_text,A005,59260,59330,70
S001,226,T12_Q2,question,T12,2,source_text,A012,59476,59599,123
S001,227,T12_Q2,question,T12,2,source_text,A008,59675,59865,190
S001,228,T12_Q2,question,T12,2,source_text,A004,59912,60227,315
S001,229,T12_Q2,question,T12,2,unassigned,,60274,60480,206
S001,230,T12_Q2,question,T12,2,unassigned,,60527,60651,124
S001,231,T12_Q2,question,T12,2,source_text,A002,60722,61178,456
S001,232,T12_Q2,question,T12,2,unassigned,,61226,61344,118
S001,233,T12_Q2,question,T12,2,source_text,A002,61394,61467,73
S001,234,T12_Q2,question,T12,2,source_text,A005,61518,61902,384
S001,235,T12_Q2,question,T12,2,source_text,A003,61951,61999,48
S001,236,T12_Q2,question,T12,2,source_text,A003,62050,62599,549
S001,237,T12_Q2,question,T12,2,source_text,A002,62650,62763,113
S001,238,T12_Q2,question,T12,2,source_text,A005,62804,63032,228
S001,239,T12_Q2,question,T12,2,unassigned,,63079,63415,336
S001,240,T12_Q2,question,T12,2,source_text,A002,63505,63581,76
S001,241,T12_Q2,question,T12,2,source_text,A002,63629,63746,117
S001,242,T12_Q2,question,T12,2,source_text,A002,63793,63887,94
S001,243,T12_Q2,question,T12,2,source_text,A005,63960,64041,81
S001,244,T12_Q2,question,T12,2,source_text,A003,64087,64182,95
S001,245,T12_Q2,question,T12,2,source_text,A003,64223,64266,43
S001,246,T12_Q2,question,T12,2,source_text,A005,64326,64492,166
S001,247,T12_Q2,question,T12,2,source_text,A005,64538,64681,143
S001,248,T12_Q2,question,T12,2,source_text,A002,64734,64881,147
S001,249,T12_Q2,question,T12,2,source_text,A005,64947,65593,646
S001,250,T12_Q2,question,T12,2,source_text,A002,65641,65694,53
S001,251,T12_Q2,question,T12,2,unassigned,,65738,65966,228
S001,252,T12_Q2,question,T12,2,source_text,A002,66021,66120,99
S001,253,T12_Q2,question,T12,2,unassigned,,66195,66310,115
S001,254,T12_Q2,question,T12,2,unassigned,,66359,66454,95
S001,255,T12_Q2,question,T12,2,source_text,A002,66503,66575,72
S001,256,T12_Q2,question,T12,2,unassigned,,66623,66692,69
S001,257,T12_Q2,question,T12,2,source_text,A005,66736,66804,68
S001,258,T12_Q2,question,T12,2,unassigned,,66875,66995,120
S001,259,T12_Q2,question,T12,2,source_text,A002,67058,67313,255
S001,260,T12_Q2,question,T12,2,source_text,A003,67384,67555,171
S001,261,T12_Q2,question,T12,2,source_text,A006,67602,68028,426
S001,262,T12_Q2,question,T12,2,source_text,A010,68075,68293,218
S001,263,T12_Q2,question,T12,2,source_text,A013,68364,68576,212
S001,264,T12_Q2,question,T12,2,source_text,A005,68646,68716,70
S001,265,T12_Q2,question,T12,2,unassigned,,68852,69028,176
S001,266,T12_Q2,question,T12,2,source_text,A013,69149,69452,303
S001,267,T12_Q2,question,T12,2,unassigned,,69586,69870,284
S001,268,T12_Q2,question,T12,2,unassigned,,69915,70403,488
S001,269,T12_Q2,question,T12,2,unassigned,,70447,70707,260
S001,270,T12_Q2,question,T12,2,unassigned,,70749,70818,69
S001,271,T12_Q2,question,T12,2,source_text,A002,70862,71118,256
S001,272,T12_Q2,question,T12,2,unassigned,,71234,71541,307
S001,273,T12_Q2,question,T12,2,unassigned,,71581,71794,213
S001,274,T12_Q2,question,T12,2,source_text,A003,71892,72204,312
S001,275,T12_Q2,question,T12,2,source_text,A003,72251,72336,85
S001,276,T12_Q2,question,T12,2,source_text,A001,72400,72506,106
S001,277,T12_Q2,question,T12,2,source_text,A001,72548,72616,68
S001,278,T12_Q2,question,T12,2,source_text,A006,72661,72727,66
S001,279,T12_Q2,question,T12,2,source_text,A009,72774,72887,113
S001,280,T12_Q2,question,T12,2,source_text,A013,72929,73004,75
S001,281,T12_Q2,question,T12,2,unassigned,,73052,73287,235
S001,282,T12_Q2,question,T12,2,source_text,A013,73357,73427,70
S001,283,T12_Q2,question,T12,2,source_text,A012,73476,73696,220
S001,284,T12_Q2,question,T12,2,source_text,A011,73763,73848,85
S001,285,T12_Q2,question,T12,2,source_text,A009,73892,73945,53
S001,286,T12_Q2,question,T12,2,source_text,A010,74009,74075,66
S001,287,T12_Q2,question,T12,2,source_text,A018,74123,74208,85
S001,288,T12_Q2,question,T12,2,source_text,A019,74273,74409,136
S001,289,T12_Q2,question,T12,2,source_text,A019,74453,74755,302
S001,290,T12_Q2,question,T12,2,source_text,A002,74822,74918,96
S001,291,T12_Q2,question,T12,2,source_text,A002,74964,75174,210
S001,292,T12_Q2,question,T12,2,source_text,A002,75224,75600,376
S001,293,T12_Q2,question,T12,2,source_text,A020,75697,75766,69
S001,294,T12_Q2,question,T12,2,source_text,A013,75831,75955,124
S001,295,T12_Q2,question,T12,2,source_text,A018,76073,76197,124
S001,296,T12_Q2,question,T12,2,unassigned,,76267,76550,283
S001,297,T12_Q2,question,T12,2,unassigned,,76677,77058,381
S001,298,T12_Q2,question,T12,2,unassigned,,77159,77554,395
S001,299,T12_Q2,question,T12,2,source_text,A003,77670,77822,152
S001,300,T12_Q2,question,T12,2,source_text,A001,77873,77976,103
S001,301,T12_Q2,question,T12,2,source_text,A003,78025,78115,90
S001,302,T12_Q2,question,T12,2,source_text,A005,78161,78350,189
S001,303,T12_Q2,question,T12,2,source_text,A003,78428,78693,265
S001,304,T12_Q2,question,T12,2,source_text,A005,78788,79449,661
S001,305,T12_Q2,question,T12,2,source_text,A003,79493,80418,925
S001,306,T12_Q2,question,T12,2,unassigned,,80659,80832,173
S001,307,T12_Q2,question,T12,2,unassigned,,80880,81219,339
S001,308,T12_Q2,question,T12,2,unassigned,,81300,81344,44
S001,309,T12_Q2,question,T12,2,unassigned,,81389,81450,61
S001,310,T12_Q2,question,T12,2,unassigned,,81512,81625,113
S001,311,T12_Q2,question,T12,2,unassigned,,81668,81824,156
S001,312,T12_Q2,question,T12,2,unassigned,,81922,82006,84
S001,313,T12_Q2,question,T12,2,unassigned,,82051,82196,145
S001,314,T12_Q2,question,T12,2,unassigned,,82257,82331,74
S001,315,T12_Q2,question,T12,2,unassigned,,82374,82441,67
S001,316,T12_Q2,question,T12,2,unassigned,,82490,82634,144
S001,317,T12_Q2,question,T12,2,unassigned,,82680,82920,240
S001,318,T12_Q2,question,T12,2,unassigned,,83074,83326,252
S001,319,T12_Q2,question,T12,2,unassigned,,83372,83438,66
S001,320,T12_Q2,question,T12,2,unassigned,,83510,83561,51
S001,321,T12_Q2,question,T12,2,source_text,A005,83607,83863,256
S001,322,T12_Q2,question,T12,2,unassigned,,83940,84184,244
S001,323,T12_Q2,question,T12,2,source_text,A002,84229,84303,74
S001,324,T12_Q2,question,T12,2,unassigned,,84353,84497,144
S001,325,T12_Q2,question,T12,2,source_text,A003,84546,84859,313
S001,326,T12_Q2,question,T12,2,source_text,A021,84905,85158,253
S001,327,T12_Q2,question,T12,2,source_text,A019,85226,85273,47
S001,328,T12_Q2,question,T12,2,source_text,A018,85317,85453,136
S001,329,T12_Q2,question,T12,2,source_text,A018,85502,85549,47
S001,330,T12_Q2,question,T12,2,source_text,A019,85601,85889,288
S001,331,T12_Q2,question,T12,2,source_text,A018,85929,86030,101
S001,332,T12_Q2,question,T12,2,source_text,A020,86091,86346,255
S001,333,T12_Q2,question,T12,2,source_text,A021,86398,86763,365
S001,334,T12_Q2,question,T12,2,source_text,A009,86811,86907,96
S001,335,T12_Q2,question,T12,2,source_text,A021,86958,87090,132
S001,336,T12_Q2,question,T12,2,source_text,A022,87138,87359,221
S001,337,T12_Q2,question,T12,2,source_text,A009,87406,87550,144
S001,338,T12_Q2,question,T12,2,source_text,A022,87597,87651,54
S001,339,T12_Q2,question,T12,2,source_text,A022,87729,87876,147
S001,340,T12_Q2,question,T12,2,source_text,A019,87927,88396,469
S001,341,T12_Q2,question,T12,2,source_text,A001,88461,88527,66
S001,342,T12_Q2,question,T12,2,source_text,A005,88571,88677,106
S001,343,T12_Q2,question,T12,2,unassigned,,88809,89339,530
S001,344,T12_Q2,question,T12,2,unassigned,,89407,89612,205
S001,345,T12_Q2,question,T12,2,unassigned,,89696,90035,339
S001,346,T12_Q2,question,T12,2,source_text,A002,90078,90181,103
S001,347,T12_Q2,question,T12,2,source_text,A003,90222,90310,88
S001,348,T12_Q2,question,T12,2,source_text,A002,90386,90460,74
S001,349,T12_Q2,question,T12,2,unassigned,,90515,90727,212
S001,350,T12_Q2,question,T12,2,unassigned,,90772,91073,301
S001,351,T12_Q2,question,T12,2,unassigned,,91117,91439,322
S001,352,T12_Q2,question,T12,2,unassigned,,91503,91578,75
S001,353,T12_Q2,question,T12,2,source_text,A002,91633,91725,92
S001,354,T12_Q2,question,T12,2,source_text,A002,91795,91868,73
S001,355,T12_Q2,question,T12,2,unassigned,,91935,92032,97
S001,356,T12_Q2,question,T12,2,source_text,A003,92100,92140,40
S001,357,T12_Q2,question,T12,2,source_text,A006,92183,92308,125
S001,358,T12_Q2,question,T12,2,source_text,A019,92463,92592,129
S001,359,T12_Q2,question,T12,2,source_text,A011,92635,92754,119
S001,360,T12_Q2,question,T12,2,source_text,A009,92801,92873,72
S001,361,T12_Q2,question,T12,2,source_text,A019,92923,92999,76
S001,362,T12_Q2,question,T12,2,source_text,A013,93068,93186,118
S001,363,T12_Q2,question,T12,2,source_text,A018,93234,93301,67
S001,364,T12_Q2,question,T12,2,unassigned,,93364,93453,89
S001,365,T12_Q2,question,T12,2,unassigned,,93520,93654,134
S001,366,T12_Q2,question,T12,2,unassigned,,93701,94009,308
S001,367,T12_Q2,question,T12,2,unassigned,,94072,94205,133
S001,368,T12_Q2,question,T12,2,source_text,A002,94376,94693,317
S001,369,T12_Q2,question,T12,2,source_text,A005,94732,94813,81
S001,370,T12_Q2,question,T12,2,source_text,A002,94852,95089,237
S001,371,T12_Q2,question,T12,2,source_text,A001,95128,95233,105
S001,372,T12_Q2,question,T12,2,source_text,A009,95273,95313,40
S001,373,T12_Q2,question,T12,2,source_text,A018,95355,95621,266
S001,374,T12_Q2,question,T12,2,unassigned,,95692,96023,331
S001,375,T12_Q2,question,T12,2,unassigned,,96121,96384,263
S001,376,T12_Q2,question,T12,2,source_text,A019,96472,96525,53
S001,377,T12_Q2,question,T12,2,unassigned,,96587,96641,54
S001,378,T12_Q2,question,T12,2,unassigned,,96687,96775,88
S001,379,T12_Q2,question,T12,2,unassigned,,96855,97004,149
S001,380,T12_Q2,question,T12,2,source_text,A007,97054,97374,320
S001,381,T12_Q2,question,T12,2,source_text,A002,97416,97784,368
S001,382,T12_Q2,question,T12,2,source_text,A011,97829,97922,93
S001,383,T12_Q2,question,T12,2,source_text,A003,97964,98008,44
S001,384,T12_Q2,question,T12,2,unassigned,,98073,98181,108
S001,385,T12_Q2,question,T12,2,unassigned,,98226,98270,44
S001,386,T12_Q2,question,T12,2,unassigned,,98317,98691,374
S001,387,T12_Q2,question,T12,2,unassigned,,98738,98864,126
S001,388,T12_Q2,question,T12,2,source_text,A005,98991,99115,124
S001,389,T12_Q2,question,T12,2,source_text,A003,99159,99224,65
S001,390,T12_Q2,question,T12,2,source_text,A003,99272,99440,168
S001,391,T12_Q2,question,T12,2,unassigned,,99532,99743,211
S001,392,T12_Q2,question,T12,2,unassigned,,99805,99972,167
S001,393,T12_Q2,question,T12,2,source_text,A006,100171,100540,369
S001,394,T12_Q2,question,T12,2,source_text,A003,100578,100953,375
S001,395,T12_Q2,question,T12,2,unassigned,,101198,101342,144
S001,396,T12_Q2,question,T12,2,unassigned,,101389,101578,189
S001,397,T12_Q2,question,T12,2,unassigned,,101670,101711,41
S001,398,T12_Q2,question,T12,2,unassigned,,101745,101826,81
S001,399,T12_Q2,question,T12,2,unassigned,,101873,102238,365
S001,400,T12_Q2,question,T12,2,unassigned,,102274,102342,68
S001,401,T12_Q2,question,T12,2,unassigned,,102387,102479,92
S001,402,T12_Q2,question,T12,2,unassigned,,102552,102710,158
S001,403,T12_Q2,question,T12,2,source_text,A005,102915,103156,241
S001,404,T12_Q2,question,T12,2,source_text,A009,103340,103438,98
S001,405,T12_Q2,question,T12,2,source_text,A006,103477,103561,84
S001,406,T12_Q2,question,T12,2,source_text,A002,103645,103829,184
S001,407,T12_Q2,question,T12,2,source_text,A005,103871,103957,86
S001,408,T12_Q2,question,T12,2,source_text,A021,103998,104045,47
S001,409,T12_Q2,question,T12,2,source_text,A019,104104,104266,162
S001,410,T12_Q2,question,T12,2,unassigned,,104327,104539,212
S001,411,T12_Q2,question,T12,2,unassigned,,104714,104848,134
S001,412,T12_Q2,question,T12,2,unassigned,,104894,105036,142
